id;country;earnings;player_count;game;earnings_per_game;percent_of_total
153.;American Samoa;$1,750.00;1 Player;Rainbow Six Siege;$1,750.00;100.00%
154.;Zambia;$1,635.44;2 Players;Mortal Kombat 11;$1,224.20;74.85%
155.;Guam;$1,250.00;1 Player;Tekken 8;$1,250.00;100.00%
156.;Angola;$1,200.00;3 Players;PLAYERUNKNOWN'S BATTLEGROUNDS Mobile;$1,200.00;100.00%
156.;Togo;$1,200.00;1 Player;Tekken 7;$1,200.00;100.00%
158.;Andorra;$952.26;5 Players;Chess.com;$575.00;60.38%
159.;Mauritania;$759.00;1 Player;Hearthstone;$759.00;100.00%
160.;Wallis And Futuna;$600.00;1 Player;Diabotical;$600.00;100.00%
161.;Gabon;$540.50;1 Player;Fortnite;$540.50;100.00%
162.;Aruba;$518.74;5 Players;Apex Legends;$380.00;73.25%
163.;Bermuda;$506.00;4 Players;Dota 2;$200.00;39.53%
163.;Bermuda;$506.00;4 Players;Rocket League;$200.00;39.53%
165.;Tuvalu;$500.00;1 Player;Fortnite;$500.00;100.00%
166.;Botswana;$338.49;2 Players;VALORANT;$233.33;68.93%
167.;Northern Mariana Islands;$300.00;1 Player;Quake III Arena;$300.00;100.00%
167.;Niger;$300.00;3 Players;Rocket League;$300.00;100.00%
169.;Bahamas;$263.00;1 Player;Yu-Gi-Oh! Duel Links;$263.00;100.00%
170.;Belize;$250.00;1 Player;PLAYERUNKNOWN'S BATTLEGROUNDS Mobile;$250.00;100.00%
171.;Dominica;$200.00;1 Player;Counter-Strike: Global Offensive;$200.00;100.00%
172.;Uganda;$149.66;2 Players;Minecraft;$100.00;66.82%
173.;Virgin Islands, U.S.;$100.00;1 Player;Rocket League;$100.00;100.00%
174.;Niue;$65.97;1 Player;BlazBlue: Chronophantasma Extend;$33.46;50.72%
175.;Liechtenstein;$56.47;2 Players;Call of Duty: Advanced Warfare;$28.47;50.42%
176.;Saint Martin;$50.00;1 Player;Counter-Strike: Global Offensive;$50.00;100.00%
177.;US Minor Outlying Islands;$30.00;1 Player;Brawlhalla;$30.00;100.00%
178.;Antigua and Barbuda;$28.42;1 Player;Fortnite;$28.42;100.00%
179.;Papua New Guinea;$25.00;1 Player;Diabotical;$25.00;100.00%
180.;Saint Kitts and Nevis;$20.00;1 Player;Lichess;$20.00;100.00%
181.;Saint Barthélemy;$7.63;1 Player;Tetr.io;$7.63;100.00%
